row,col,hour,temperature,windSpeed,humidity,dryness
0,0,0,4.9,5.0,60.6,20.0
0,0,1,7.6,4.5,63.3,20.0
0,0,2,8.8,2.9,62.0,20.0
0,0,3,8.5,2.2,56.4,20.2
0,0,4,7.9,3.2,50.1,21.8
0,0,5,8.8,5.4,47.2,24.3
0,0,6,11.4,7.0,48.6,27.7
0,0,7,14.6,6.9,51.3,31.4
0,0,8,16.6,5.3,51.1,34.5
0,0,9,16.7,3.9,46.3,36.5
0,0,10,15.9,4.2,39.8,37.9
0,0,11,16.1,6.0,35.9,39.8
0,0,12,18.0,7.7,36.7,42.3
0,0,13,20.8,7.8,40.2,45.1
0,0,14,22.6,6.2,42.0,47.1
0,0,15,22.5,4.3,39.4,48.0
0,0,16,21.1,3.7,34.1,48.0
0,0,17,20.0,4.8,30.3,47.9
0,0,18,20.5,6.4,31.2,48.3
0,0,19,22.2,6.8,35.9,48.9
0,0,20,23.5,5.3,40.1,49.2
0,0,21,22.9,3.1,40.3,48.2
0,0,22,20.6,1.8,37.0,46.1
0,0,23,18.2,2.3,33.9,43.7
0,1,0,5.0,4.2,55.9,20.0
0,1,1,7.7,2.7,58.7,20.0
0,1,2,8.9,1.9,61.2,20.0
0,1,3,8.5,2.9,59.8,20.0
0,1,4,8.0,5.2,54.1,20.4
0,1,5,8.9,6.8,47.7,24.3
0,1,6,11.5,6.7,44.7,29.4
0,1,7,14.7,5.2,46.2,33.6
0,1,8,16.7,3.9,48.9,35.5
0,1,9,16.7,4.2,48.7,35.6
0,1,10,16.0,6.0,44.1,36.4
0,1,11,16.2,7.8,37.7,39.2
0,1,12,18.1,7.9,33.9,43.6
0,1,13,20.9,6.3,34.9,47.4
0,1,14,22.7,4.5,38.6,48.6
0,1,15,22.6,4.0,40.6,47.7
0,1,16,21.2,5.1,38.3,46.5
0,1,17,20.1,6.8,33.2,46.9
0,1,18,20.6,7.2,29.7,49.0
0,1,19,22.3,5.7,30.9,51.1
0,1,20,23.6,3.5,35.8,51.1
0,1,21,23.0,2.2,40.2,48.4
0,1,22,20.7,2.8,40.7,44.8
0,1,23,18.3,4.3,37.6,42.4
0,2,0,5.1,2.4,55.1,20.0
0,2,1,7.8,1.6,54.0,20.1
0,2,2,9.0,2.7,56.6,20.9
0,2,3,8.6,4.9,59.0,20.0
0,2,4,8.1,6.6,57.5,20.0
0,2,5,9.0,6.5,51.7,22.8
0,2,6,11.6,5.0,45.3,29.3
0,2,7,14.8,3.7,42.3,35.3
0,2,8,16.8,4.1,43.8,37.7
0,2,9,16.8,6.0,46.6,36.6
0,2,10,16.1,7.8,46.5,35.6
0,2,11,16.3,8.0,42.0,37.7
0,2,12,18.2,6.5,35.7,43.0
0,2,13,21.0,4.6,32.2,48.6
0,2,14,22.8,4.2,33.4,50.8
0,2,15,22.7,5.4,37.3,49.1
0,2,16,21.3,7.1,39.5,46.2
0,2,17,20.2,7.5,37.4,45.3
0,2,18,20.7,6.1,32.6,48.0
0,2,19,22.4,3.9,29.4,51.8
0,2,20,23.7,2.7,30.8,53.2
0,2,21,23.1,3.3,36.0,50.3
0,2,22,20.8,4.8,40.6,45.0
0,2,23,18.4,5.6,41.3,41.1
0,3,0,5.2,1.3,58.5,20.0
0,3,1,7.9,2.4,53.2,20.6
0,3,2,9.1,4.6,51.9,22.9
0,3,3,8.7,6.3,54.3,21.3
0,3,4,8.2,6.3,56.7,20.0
0,3,5,9.1,4.8,55.1,21.6
0,3,6,11.7,3.6,49.3,27.8
0,3,7,14.9,4.0,42.9,35.2
0,3,8,16.8,5.9,39.9,39.2
0,3,9,16.9,7.7,41.5,38.7
0,3,10,16.2,8.0,44.4,36.5
0,3,11,16.4,6.5,44.4,36.8
0,3,12,18.3,4.8,40.0,41.5
0,3,13,21.1,4.3,34.0,48.1
0,3,14,22.9,5.6,30.6,52.1
0,3,15,22.8,7.4,32.1,51.4
0,3,16,21.4,7.9,36.2,47.6
0,3,17,20.3,6.5,38.7,45.0
0,3,18,20.8,4.3,36.8,46.5
0,3,19,22.5,3.1,32.3,50.8
0,3,20,23.8,3.7,29.3,54.0
0,3,21,23.2,5.3,31.0,52.4
0,3,22,20.9,6.0,36.4,46.8
0,3,23,18.5,5.0,41.3,41.2
0,4,0,5.3,2.1,62.5,20.0
0,4,1,8.0,4.3,56.6,20.0
0,4,2,9.2,6.1,51.1,23.4
0,4,3,8.8,6.0,49.7,23.3
0,4,4,8.3,4.6,52.0,21.7
0,4,5,9.2,3.4,54.3,22.1
0,4,6,11.8,3.8,52.7,26.6
0,4,7,15.0,5.8,46.9,33.7
0,4,8,16.9,7.7,40.5,39.1
0,4,9,17.0,8.0,37.6,40.5
0,4,10,16.3,6.5,39.2,38.8
0,4,11,16.5,4.8,42.3,37.8
0,4,12,18.4,4.5,42.5,40.6
0,4,13,21.1,5.8,38.3,46.3
0,4,14,23.0,7.6,32.4,51.5
0,4,15,22.9,8.1,29.3,52.6
0,4,16,21.5,6.8,31.0,49.9
0,4,17,20.4,4.7,35.4,46.4
0,4,18,20.9,3.5,38.1,46.1
0,4,19,22.6,4.1,36.5,49.3
0,4,20,23.9,5.7,32.2,53.0
0,4,21,23.3,6.5,29.5,53.2
0,4,22,21.0,5.4,31.4,48.9
0,4,23,18.6,3.2,37.0,43.1
0,5,0,5.4,4.0,63.1,20.0
0,5,1,8.1,5.8,60.6,20.0
0,5,2,9.3,5.8,54.5,22.2
0,5,3,8.9,4.3,48.9,23.8
0,5,4,8.4,3.1,47.3,23.7
0,5,5,9.2,3.6,49.6,24.0
0,5,6,11.9,5.6,51.9,27.1
0,5,7,15.1,7.5,50.2,32.6
0,5,8,17.0,7.9,44.5,37.7
0,5,9,17.1,6.5,38.1,40.4
0,5,10,16.4,4.8,35.4,40.4
0,5,11,16.6,4.5,37.1,40.1
0,5,12,18.5,5.9,40.3,41.6
0,5,13,21.2,7.8,40.7,45.5
0,5,14,23.1,8.3,36.7,50.0
0,5,15,23.0,7.1,31.1,52.1
0,5,16,21.6,5.0,28.2,51.1
0,5,17,20.5,3.8,30.1,48.7
0,5,18,21.0,4.5,34.8,47.6
0,5,19,22.7,6.1,37.7,49.0
0,5,20,24.0,7.0,36.4,51.4
0,5,21,23.4,5.9,32.4,52.1
0,5,22,21.1,3.7,29.9,49.7
0,5,23,18.7,1.9,32.0,45.3
0,6,0,5.5,5.5,59.2,20.0
0,6,1,8.2,5.5,61.1,20.0
0,6,2,9.4,4.0,58.5,20.7
0,6,3,9.0,2.9,52.2,22.6
0,6,4,8.5,3.4,46.5,24.2
0,6,5,9.3,5.4,44.9,26.0
0,6,6,12.0,7.4,47.2,29.1
0,6,7,15.2,7.8,49.4,33.0
0,6,8,17.1,6.4,47.9,36.5
0,6,9,17.2,4.8,42.2,38.9
0,6,10,16.5,4.5,35.9,40.4
0,6,11,16.7,6.0,33.3,41.7
0,6,12,18.6,7.9,35.2,43.8
0,6,13,21.3,8.5,38.6,46.5
0,6,14,23.2,7.3,39.1,49.2
0,6,15,23.1,5.2,35.4,50.5
0,6,16,21.6,4.2,30.0,50.4
0,6,17,20.6,4.9,27.3,50.0
0,6,18,21.1,6.5,29.5,49.9
0,6,19,22.8,7.4,34.4,50.4
0,6,20,24.0,6.4,37.7,50.9
0,6,21,23.5,4.1,36.6,50.6
0,6,22,21.2,2.4,32.8,48.7
0,6,23,18.8,2.5,30.5,46.0
0,7,0,5.6,5.2,54.0,20.0
0,7,1,8.3,3.8,57.2,20.0
0,7,2,9.5,2.6,59.0,20.7
0,7,3,9.1,3.1,56.2,21.2
0,7,4,8.6,5.2,49.9,22.9
0,7,5,9.4,7.2,44.1,26.5
0,7,6,12.1,7.6,42.5,31.2
0,7,7,15.3,6.3,44.8,35.0
0,7,8,17.2,4.7,47.0,37.0
0,7,9,17.3,4.5,45.5,37.8
0,7,10,16.6,6.0,39.9,38.9
0,7,11,16.7,8.0,33.8,41.5
0,7,12,18.7,8.6,31.3,45.5
0,7,13,21.4,7.4,33.4,48.7
0,7,14,23.3,5.5,37.0,50.2
0,7,15,23.2,4.4,37.8,49.7
0,7,16,21.7,5.2,34.3,48.8
0,7,17,20.6,6.9,29.1,49.3
0,7,18,21.2,7.8,26.7,51.1
0,7,19,22.9,6.8,29.2,52.7
0,7,20,24.1,4.6,34.3,52.4
0,7,21,23.6,2.9,37.8,50.3
0,7,22,21.3,2.9,37.0,47.2
0,7,23,18.9,4.4,33.4,45.0
0,8,0,5.7,3.5,51.9,20.0
0,8,1,8.3,2.3,52.1,21.6
0,8,2,9.6,2.8,55.1,22.4
0,8,3,9.2,4.9,56.8,21.1
0,8,4,8.6,6.9,53.9,21.3
0,8,5,9.5,7.4,47.5,25.3
0,8,6,12.2,6.1,41.7,31.6
0,8,7,15.4,4.6,40.1,37.1
0,8,8,17.3,4.4,42.4,39.0
0,8,9,17.4,6.0,44.7,38.2
0,8,10,16.7,8.0,43.3,37.7
0,8,11,16.8,8.7,37.8,40.1
0,8,12,18.7,7.6,31.9,45.3
0,8,13,21.5,5.6,29.6,50.4
0,8,14,23.4,4.6,31.9,52.3
0,8,15,23.3,5.5,35.7,50.7
0,8,16,21.8,7.2,36.7,48.0
0,8,17,20.7,8.1,33.4,47.7
0,8,18,21.2,7.2,28.5,50.4
0,8,19,23.0,5.0,26.4,53.9
0,8,20,24.2,3.3,29.1,54.7
0,8,21,23.7,3.4,34.5,51.8
0,8,22,21.4,4.8,38.2,46.8
0,8,23,19.0,6.0,37.6,43.5
0,9,0,5.8,2.0,54.3,20.0
0,9,1,8.4,2.6,50.0,22.6
0,9,2,9.7,4.6,50.0,24.5
0,9,3,9.3,6.7,52.9,22.8
0,9,4,8.7,7.2,54.5,21.2
0,9,5,9.6,5.9,51.5,23.8
0,9,6,12.3,4.4,45.1,30.4
0,9,7,15.5,4.3,39.3,37.5
0,9,8,17.4,5.9,37.7,41.0
0,9,9,17.5,7.9,40.0,40.3
0,9,10,16.8,8.7,42.5,38.2
0,9,11,16.9,7.6,41.2,38.9
0,9,12,18.8,5.7,35.9,43.8
0,9,13,21.6,4.8,30.1,50.4
0,9,14,23.5,5.7,28.0,54.1
0,9,15,23.4,7.5,30.5,52.9
0,9,16,21.9,8.4,34.6,49.0
0,9,17,20.8,7.5,35.9,46.8
0,9,18,21.3,5.4,32.8,48.8
0,9,19,23.1,3.7,28.2,53.4
0,9,20,24.3,3.8,26.3,55.9
0,9,21,23.8,5.3,29.2,54.0
0,9,22,21.5,6.4,34.9,48.3
0,9,23,19.1,5.9,38.8,43.1
0,10,0,5.9,2.3,58.6,20.0
0,10,1,8.5,4.3,52.4,21.8
0,10,2,9.8,6.4,47.9,25.5
0,10,3,9.4,6.9,47.8,25.0
0,10,4,8.8,5.7,50.6,23.0
0,10,5,9.7,4.2,52.1,23.7
0,10,6,12.4,4.1,49.1,29.0
0,10,7,15.6,5.8,42.6,36.4
0,10,8,17.5,7.9,36.9,41.5
